date.local,value
2021-11-17,11.689798047018545
2021-11-18,10.113095238095237
2021-11-19,6.773809523809524
2021-11-20,10.478571428571428
2021-11-21,6.301785714285715
2021-11-22,4.338871635610766
2021-11-23,10.602976190476193
2021-11-24,21.970238095238095
2021-11-25,14.130491247882551
2021-11-26,7.035998964803312
2021-11-27,3.380952380952381
2021-11-28,4.017857142857142
2021-11-29,8.705357142857142
2021-11-30,9.021350931677018
2021-12-01,3.338690476190476
2021-12-02,3.351190476190476
2021-12-03,6.248469387755103
2021-12-04,10.43095238095238
2021-12-05,3.730357142857143
2021-12-06,6.41547619047619
2021-12-07,7.285714285714286
