time,tavg,prcp,wdir,wpgt,pres
2021-11-17,9.9,0.0,252.3,24.1,1024.3
2021-11-18,10.8,0.0,242.5,27.8,1028.8
2021-11-19,11.7,0.0,247.4,22.2,1030.5
2021-11-20,10.7,0.1,251.6,20.4,1023.5
2021-11-21,7.3,0.0,334.8,40.8,1019.6
2021-11-22,6.5,0.0,353.4,31.5,1030.1
2021-11-23,5.7,0.0,277.7,18.5,1032.1
2021-11-24,5.6,0.5,252.4,14.8,1022.3
2021-11-25,5.5,0.0,309.9,29.6,1016.0
2021-11-26,5.9,1.5,258.6,44.5,994.9
2021-11-27,4.1,2.5,306.6,61.1,991.5
2021-11-28,2.5,0.0,299.9,53.7,1006.4
2021-11-29,2.1,0.0,253.3,27.8,1014.3
2021-11-30,10.2,0.7,244.0,42.6,1009.5
2021-12-01,8.6,2.1,282.9,48.2,998.8
2021-12-02,3.5,0.0,289.3,38.9,1011.5
2021-12-03,6.6,1.4,236.1,27.8,1004.5
2021-12-04,6.4,2.6,257.3,42.6,997.6
2021-12-05,6.0,5.1,301.7,44.5,1006.1
2021-12-06,5.2,2.2,241.5,29.6,1009.7
2021-12-07,5.5,10.2,176.2,48.2,997.5
